Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca25112-jf-200000
Airfoil,naca25112-jf
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,62.8531
Max Cl/Cd alpha,8.75
Url,http://airfoiltools.com/polar/csv?polar=xf-naca25112-jf-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-0.250,0.2252,0.01236,0.00575,-0.0208,0.5842,0.9902
0.000,0.2823,0.01233,0.00557,-0.0269,0.5703,1.0000
0.250,0.3073,0.01232,0.00547,-0.0266,0.5599,1.0000
0.500,0.3322,0.01236,0.00536,-0.0262,0.5506,1.0000
0.750,0.3573,0.01236,0.00531,-0.0259,0.5405,1.0000
1.000,0.3824,0.01242,0.00525,-0.0256,0.5321,1.0000
1.250,0.4075,0.01244,0.00524,-0.0252,0.5225,1.0000
1.500,0.4327,0.01253,0.00522,-0.0249,0.5146,1.0000
1.750,0.4580,0.01258,0.00524,-0.0245,0.5055,1.0000
2.000,0.4833,0.01269,0.00526,-0.0242,0.4978,1.0000
2.250,0.5085,0.01276,0.00532,-0.0238,0.4891,1.0000
2.500,0.5338,0.01289,0.00536,-0.0234,0.4819,1.0000
2.750,0.5589,0.01297,0.00546,-0.0230,0.4733,1.0000
3.000,0.5838,0.01314,0.00552,-0.0225,0.4665,1.0000
3.250,0.6084,0.01324,0.00567,-0.0220,0.4581,1.0000
3.500,0.6331,0.01340,0.00576,-0.0215,0.4511,1.0000
3.750,0.6576,0.01354,0.00594,-0.0209,0.4431,1.0000
4.000,0.6820,0.01369,0.00605,-0.0203,0.4359,1.0000
4.250,0.7062,0.01388,0.00626,-0.0197,0.4284,1.0000
4.500,0.7303,0.01403,0.00640,-0.0191,0.4208,1.0000
4.750,0.7544,0.01424,0.00659,-0.0184,0.4137,1.0000
5.000,0.7782,0.01440,0.00678,-0.0177,0.4058,1.0000
5.250,0.8020,0.01462,0.00697,-0.0170,0.3989,1.0000
5.500,0.8254,0.01479,0.00721,-0.0163,0.3906,1.0000
5.750,0.8492,0.01503,0.00738,-0.0155,0.3837,1.0000
6.000,0.8721,0.01519,0.00766,-0.0147,0.3751,1.0000
6.250,0.8956,0.01544,0.00783,-0.0139,0.3679,1.0000
6.500,0.9181,0.01560,0.00812,-0.0130,0.3589,1.0000
6.750,0.9412,0.01585,0.00832,-0.0122,0.3512,1.0000
7.000,0.9633,0.01602,0.00858,-0.0112,0.3418,1.0000
7.250,0.9856,0.01625,0.00883,-0.0102,0.3330,1.0000
7.500,1.0076,0.01643,0.00904,-0.0092,0.3235,1.0000
7.750,1.0292,0.01667,0.00935,-0.0082,0.3134,1.0000
8.000,1.0507,0.01692,0.00957,-0.0072,0.3038,1.0000
8.250,1.0716,0.01713,0.00986,-0.0060,0.2929,1.0000
8.500,1.0923,0.01740,0.01021,-0.0049,0.2817,1.0000
8.750,1.1125,0.01770,0.01053,-0.0037,0.2706,1.0000
9.000,1.1319,0.01804,0.01085,-0.0025,0.2590,1.0000
9.250,1.1511,0.01838,0.01126,-0.0012,0.2461,1.0000
9.500,1.1697,0.01877,0.01171,0.0001,0.2326,1.0000
9.750,1.1874,0.01924,0.01221,0.0015,0.2182,1.0000
10.000,1.2041,0.01978,0.01277,0.0029,0.2031,1.0000
10.250,1.2191,0.02045,0.01342,0.0045,0.1870,1.0000
10.500,1.2330,0.02121,0.01419,0.0062,0.1699,1.0000
10.750,1.2448,0.02211,0.01507,0.0080,0.1520,1.0000
11.000,1.2531,0.02321,0.01613,0.0102,0.1354,1.0000
11.250,1.2578,0.02448,0.01735,0.0127,0.1210,1.0000
11.500,1.2583,0.02583,0.01870,0.0156,0.1095,1.0000
11.750,1.2576,0.02746,0.02032,0.0180,0.1000,1.0000
12.000,1.2540,0.02955,0.02238,0.0199,0.0928,1.0000
12.250,1.2548,0.03161,0.02451,0.0209,0.0857,1.0000
12.500,1.2515,0.03423,0.02715,0.0215,0.0805,1.0000
12.750,1.2519,0.03675,0.02975,0.0216,0.0754,1.0000
13.000,1.2460,0.03992,0.03286,0.0217,0.0717,1.0000
13.250,1.2477,0.04256,0.03567,0.0214,0.0679,1.0000
13.500,1.2463,0.04551,0.03868,0.0210,0.0647,1.0000
13.750,1.2424,0.04855,0.04164,0.0212,0.0619,1.0000
14.000,1.2427,0.05146,0.04473,0.0207,0.0594,1.0000
14.250,1.2420,0.05443,0.04777,0.0202,0.0569,1.0000
14.500,1.2411,0.05734,0.05069,0.0199,0.0549,1.0000
14.750,1.2424,0.05977,0.05310,0.0205,0.0528,1.0000
15.000,1.2410,0.06297,0.05648,0.0198,0.0511,1.0000
15.250,1.2403,0.06604,0.05965,0.0192,0.0493,1.0000
15.500,1.2410,0.06892,0.06255,0.0186,0.0477,1.0000
15.750,1.2484,0.07051,0.06404,0.0198,0.0457,1.0000
16.000,1.2453,0.07416,0.06787,0.0187,0.0447,1.0000
16.250,1.2423,0.07782,0.07171,0.0176,0.0436,1.0000
16.500,1.2394,0.08152,0.07554,0.0165,0.0425,1.0000
16.750,1.2380,0.08500,0.07912,0.0155,0.0414,1.0000
17.000,1.2393,0.08801,0.08217,0.0147,0.0403,1.0000
17.250,1.2488,0.08940,0.08347,0.0159,0.0388,1.0000
17.500,1.2376,0.09468,0.08898,0.0134,0.0384,1.0000
17.750,1.2263,0.10012,0.09463,0.0108,0.0379,1.0000
18.000,1.2141,0.10581,0.10053,0.0080,0.0374,1.0000
18.250,1.2006,0.11186,0.10678,0.0050,0.0370,1.0000
18.500,1.1851,0.11847,0.11359,0.0015,0.0367,1.0000
18.750,1.1663,0.12597,0.12129,-0.0027,0.0365,1.0000
19.000,1.1415,0.13501,0.13057,-0.0081,0.0364,1.0000
